radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
305.218937,1.006,19.984279,0.561,3,14.943,0.113,15.879,0.121,15.569,0.362,14.53,0.033,14.275,0.026
305.226219,0.431,19.988548,0.788,3,15.197,0.061,16.296,0.064,15.684,0,14.899,0.008,14.64,0.037
305.227219,1.143,19.976109,0.912,2,15.981,0,16.689,-0.12,16.339,0,NA,NA,NA,NA
305.227901,0.964,19.975829,0.769,2,16.247,0,16.382,-0.18,NA,NA,15.956,0,NA,NA
305.23753,1.677,19.999534,0.653,2,16.89,0,17.963,-0.334,NA,NA,16.248,0,NA,NA
305.240174,0.87,19.984363,0.45,6,10.749,0.083,11.52,0.075,11.205,0.268,10.496,0.058,10.327,0.133
305.250775,0.994,19.99753,0.946,3,15.517,0.182,16.22,0,15.818,0,15.034,0,14.662,0.037
305.251389,0.626,19.992296,1.043,2,15.309,0.102,16.08,0.029,15.717,0,15.1,0,NA,NA
305.254615,0.846,19.983644,1.475,3,14.481,0.076,15.363,0.173,15.043,0,14.109,0,13.884,0.077
305.25817,0.911,19.999648,0.412,3,15.557,0.046,16.125,-0.078,15.893,0.04,15.426,0,15.367,0
305.259081,0.664,19.966006,0.962,4,14.948,0.09,15.633,0.109,15.505,0.439,14.705,0.042,14.555,0.008
305.264874,0.817,19.998488,0.634,2,14.939,0,15.492,-0.039,15.214,0,14.818,0,14.745,0.01
305.268525,0.815,19.958922,0.721,5,13.774,0.021,14.289,0.072,14.197,0.356,13.607,0.037,13.556,0.156
305.268591,0.89,19.990469,0.964,4,14.842,0.126,15.522,0.068,15.248,0.167,14.642,0.046,14.493,0.062
305.276858,1.378,19.998685,1.101,2,16.501,0,17.23,-0.182,NA,NA,NA,NA,16.157,0
305.289764,1.719,19.96789,0.882,5,14.47,0,NA,NA,14.767,0,14.307,0.054,14.075,0.01
305.290031,0.89,19.967823,0.743,3,14.464,0.082,15.008,0.076,15.13,0.586,14.287,0,NA,NA
305.297414,1.557,19.954159,0.277,2,16.237,0,17.119,-0.174,NA,NA,NA,NA,15.715,0
305.297734,1.023,19.994592,1.296,2,15.427,0,16.166,-0.072,15.954,0,15.495,0,NA,NA
305.303998,1.003,19.99834,0.728,4,14.977,0.1,15.585,0.006,NA,NA,NA,NA,14.602,0.052
305.309186,0.299,19.965016,0.8,3,15.611,0,16.187,-0.076,NA,NA,NA,NA,15.261,0.148
305.319002,0.855,19.927527,0.977,2,15.277,0.006,15.663,0.012,NA,NA,NA,NA,NA,NA
305.320057,0.986,19.937577,0.81,5,13.904,0.059,14.825,0.016,14.806,0.433,13.51,0.062,13.369,0.158
305.321285,0.795,19.921656,0.701,6,13.188,0.045,14.186,0.168,13.907,0.392,12.852,0.095,12.616,0.13
305.326483,1.242,19.948919,0.732,4,14.333,0.006,14.81,0.011,15.226,0,14.096,0,14.067,0.18
305.331561,1.142,19.982611,0.889,4,14.116,0.165,14.797,0.164,NA,NA,NA,NA,13.916,0.267
305.339114,1.254,19.980105,0.74,5,14.294,0.045,14.872,0.217,14.944,0.422,14.031,0.037,13.982,0.199
305.340775,1.062,19.938084,1.149,5,14.666,0.045,15.118,0.04,15.247,0.4,14.358,0.035,14.325,0.011
305.341795,0.879,19.95695,0.94,4,14.519,0.076,15.277,0.053,15.729,0,14.192,0,13.898,0.021
305.344774,0.909,19.96753,0.799,4,14.351,0.037,14.896,0.023,15.332,0,14.144,0,14.15,0.254
